,x0,y0,StartNode,StartTime,xf,yf,FinalNode
0,363645.46,3713224.57,506,483,363647.437377,3713249.863934,502
1,363645.46,3713224.57,506,1441,363642.414416,3713243.630455,503
2,363645.46,3713224.57,506,1290,363646.496065,3713249.1359,502
3,363323.95,3713224.51,699,254,363059.76,3713174.66,905
4,363323.95,3713224.51,699,1506,363059.76,3713174.66,905
5,363323.95,3713224.51,699,347,363059.76,3713174.66,905
6,363553.69,3713219.4,721,1611,363582.310508,3713460.702328,345
7,363553.69,3713219.4,721,963,363553.56,3713538.23,301
8,363553.69,3713219.4,721,820,363553.56,3713538.23,301
9,363520.9,3713198.61,726,128,363553.56,3713538.23,301
10,363520.9,3713198.61,726,385,363553.56,3713538.23,301
11,363520.9,3713198.61,726,1103,363553.56,3713538.23,301
12,363511.71,3713205.21,727,2228,363511.71,3713205.21,727
13,363511.71,3713205.21,727,1164,363553.56,3713538.23,301
14,363511.71,3713205.21,727,748,363553.56,3713538.23,301
15,363273.59,3713192.88,730,1172,363059.76,3713174.66,905
16,363273.59,3713192.88,730,901,363059.76,3713174.66,905
17,363273.59,3713192.88,730,1413,363059.76,3713174.66,905
18,363429.59,3713225.78,731,1886,363429.59,3713225.78,731
19,363429.59,3713225.78,731,1075,363059.76,3713174.66,905
20,363429.59,3713225.78,731,566,363059.76,3713174.66,905
21,363424.76,3713212.91,732,1406,363049.266712,3713207.628631,800
22,363424.76,3713212.91,732,741,363059.76,3713174.66,905
23,363424.76,3713212.91,732,249,363059.76,3713174.66,905
24,363341.42,3713228.88,758,615,363059.76,3713174.66,905
25,363341.42,3713228.88,758,380,363059.76,3713174.66,905
26,363341.42,3713228.88,758,341,363059.76,3713174.66,905
27,363334.42,3713226.21,759,626,363059.76,3713174.66,905
28,363334.42,3713226.21,759,534,363059.76,3713174.66,905
29,363334.42,3713226.21,759,1089,363059.76,3713174.66,905
30,363154.53,3713227.83,760,957,363059.76,3713174.66,905
31,363154.53,3713227.83,760,1917,363154.53,3713227.83,760
32,363154.53,3713227.83,760,916,363059.76,3713174.66,905
33,363393.67,3713229.99,762,520,363059.76,3713174.66,905
34,363393.67,3713229.99,762,1635,363276.165182,3713261.284312,666
35,363393.67,3713229.99,762,235,363059.76,3713174.66,905
36,363401.79,3713229.87,763,1063,363059.76,3713174.66,905
37,363401.79,3713229.87,763,135,363059.76,3713174.66,905
38,363401.79,3713229.87,763,1238,363059.76,3713174.66,905
39,363156.37,3713193.62,769,1683,363049.570068,3713206.477946,800
40,363156.37,3713193.62,769,1092,363059.76,3713174.66,905
41,363156.37,3713193.62,769,183,363059.76,3713174.66,905
42,363155.45,3713210.26,770,1223,363059.76,3713174.66,905
43,363155.45,3713210.26,770,619,363059.76,3713174.66,905
44,363155.45,3713210.26,770,998,363059.76,3713174.66,905
45,363294.63,3713203.67,774,1860,363294.63,3713203.67,774
46,363294.63,3713203.67,774,1106,363059.76,3713174.66,905
47,363294.63,3713203.67,774,1323,363059.76,3713174.66,905
48,363308.73,3713215.48,775,581,363059.76,3713174.66,905
49,363308.73,3713215.48,775,454,363059.76,3713174.66,905
50,363308.73,3713215.48,775,321,363059.76,3713174.66,905
51,363538.02,3713178.04,776,837,363553.56,3713538.23,301
52,363538.02,3713178.04,776,1156,363553.56,3713538.23,301
53,363538.02,3713178.04,776,653,363553.56,3713538.23,301
54,363504.14,3713162.81,777,1493,363577.095086,3713503.261513,345
55,363504.14,3713162.81,777,796,363553.56,3713538.23,301
56,363504.14,3713162.81,777,991,363553.56,3713538.23,301
57,363495.99,3713161.08,778,1006,363553.56,3713538.23,301
58,363495.99,3713161.08,778,265,363059.76,3713174.66,905
59,363495.99,3713161.08,778,853,363059.76,3713174.66,905
60,363487.91,3713163.96,779,619,363059.76,3713174.66,905
