# number,coord_x,coord_y,evacuation,reward
0,364726.400000,3713828.500000,0,1
1,364724.280000,3713843.310000,0,1
2,364769.670000,3713851.920000,0,1
3,364791.730000,3713852.530000,0,1
4,364865.950000,3713848.720000,0,1
5,364801.010000,3713852.400000,0,1
6,364820.200000,3713814.240000,0,1
7,364798.220000,3713819.170000,0,1
8,364638.090000,3713821.420000,0,1
9,364565.820000,3713799.330000,0,1
10,364705.500000,3713827.870000,0,1
11,364672.880000,3713819.080000,0,1
12,364744.960000,3713828.240000,0,1
13,364860.690000,3713804.430000,0,1
14,364860.790000,3713811.820000,0,1
15,364971.130000,3713817.670000,0,1
16,364571.510000,3713790.940000,0,1
17,364640.270000,3713811.220000,0,1
18,364922.210000,3713805.420000,0,1
19,364922.150000,3713800.800000,0,1
20,364997.720000,3713809.910000,0,1
21,365035.870000,3713799.210000,0,1
22,364573.740000,3713784.440000,0,1
23,364555.030000,3713774.530000,0,1
24,364646.350000,3713748.300000,0,1
25,365068.250000,3713791.360000,0,1
26,365100.580000,3713778.890000,0,1
27,364981.970000,3713763.000000,0,1
28,364861.730000,3713796.100000,0,1
29,364856.730000,3713770.300000,0,1
30,364684.760000,3713756.080000,0,1
31,364504.000000,3713777.100000,0,1
32,364795.060000,3713759.150000,0,1
33,364919.610000,3713785.120000,0,1
34,364961.180000,3713769.760000,0,1
35,364732.970000,3713800.680000,0,1
36,364738.530000,3713783.040000,0,1
37,364745.270000,3713767.240000,0,1
38,364583.930000,3713766.730000,1,1000
39,364537.220000,3713746.140000,1,1000
40,364509.320000,3713742.830000,0,1
41,364505.040000,3713768.770000,0,1
42,364815.880000,3713754.240000,0,1
43,364854.070000,3713746.310000,0,1
44,364855.360000,3713755.530000,1,1000
45,364995.820000,3713757.260000,0,1
46,364731.330000,3713766.510000,0,1
47,364421.180000,3713747.770000,0,1
48,364768.440000,3713764.140000,0,1
49,365060.650000,3713745.260000,0,1
50,365128.210000,3713762.800000,0,1
51,365021.280000,3713752.280000,0,1
52,364946.640000,3713726.530000,0,1
53,365192.740000,3713729.550000,0,1
54,365194.100000,3713744.320000,0,1
55,364733.480000,3713754.470000,0,1
56,364731.070000,3713748.030000,0,1
57,364717.720000,3713706.630000,0,1
58,365060.570000,3713739.720000,0,1
59,365067.490000,3713736.850000,0,1
60,365116.020000,3713721.380000,0,1
61,364598.620000,3713737.880000,0,1
62,365234.410000,3713721.570000,0,1
63,365292.280000,3713710.600000,0,1
64,364977.700000,3713706.680000,0,1
65,365054.150000,3713695.450000,0,1
66,364797.340000,3713673.170000,1,1000
67,364606.300000,3713706.350000,0,1
68,364513.650000,3713720.590000,0,1
69,364528.790000,3713724.080000,0,1
70,364429.860000,3713704.210000,0,1
71,364664.310000,3713704.610000,0,1
72,364249.980000,3713705.820000,0,1
73,364284.880000,3713711.800000,0,1
74,364353.610000,3713729.310000,0,1
75,364609.590000,3713692.440000,0,1
76,364531.830000,3713692.610000,0,1
77,364972.880000,3713693.810000,0,1
78,364940.480000,3713700.740000,1,1000
79,364252.150000,3713694.700000,0,1
80,365010.040000,3713695.140000,0,1
81,364853.950000,3713737.990000,0,1
82,364892.300000,3713657.980000,0,1
83,365107.420000,3713687.310000,0,1
84,365224.660000,3713688.440000,0,1
85,364441.490000,3713705.900000,0,1
86,365316.540000,3713701.940000,0,1
87,364700.380000,3713711.500000,0,1
88,364248.900000,3713711.380000,0,1
89,365185.330000,3713698.230000,0,1
90,365080.780000,3713691.380000,0,1
91,365176.880000,3713674.320000,0,1
92,365303.190000,3713660.540000,0,1
93,364253.190000,3713686.370000,0,1
94,364211.290000,3713677.720000,0,1
95,365002.710000,3713669.370000,0,1
96,364533.900000,3713675.030000,1,1000
97,365050.370000,3713674.250000,0,1
98,364671.880000,3713665.690000,0,1
99,364705.590000,3713668.920000,0,1
100,365087.730000,3713690.360000,0,1
101,365359.290000,3713688.410000,0,1
102,365388.150000,3713676.910000,0,1
103,364443.390000,3713676.300000,0,1
104,364383.300000,3713694.700000,0,1
105,364365.830000,3713690.330000,0,1
106,364260.330000,3713699.210000,0,1
107,364271.870000,3713694.420000,0,1
108,364342.630000,3713691.580000,1,1000
109,365001.440000,3713661.070000,0,1
110,365214.950000,3713658.080000,0,1
111,364696.300000,3713669.050000,0,1
112,363945.570000,3713682.390000,0,1
113,363993.180000,3713684.490000,0,1
114,364003.630000,3713684.340000,0,1
115,364015.130000,3713676.790000,0,1
116,364033.340000,3713651.580000,0,1
117,365419.320000,3713665.390000,0,1
118,365435.500000,3713660.540000,0,1
119,365008.530000,3713670.210000,0,1
120,364368.930000,3713663.480000,0,1
121,364153.060000,3713663.750000,0,1
122,365101.190000,3713656.900000,0,1
123,365103.440000,3713651.320000,0,1
124,364444.420000,3713667.040000,0,1
125,364071.610000,3713649.190000,0,1
126,364619.460000,3713651.640000,0,1
127,363959.310000,3713669.260000,0,1
128,364241.770000,3713699.470000,0,1
129,364182.440000,3713690.140000,0,1
130,364151.020000,3713684.110000,0,1
131,364078.800000,3713665.720000,0,1
132,364929.450000,3713659.310000,0,1
